Mat,Won,Tied,NR,Runs,Wkts,Balls,Ave,RPO,Ground_0,Ground_1,Ground_2
4,4,0,0,2161,72,2297,30.01,5.64,Eden Gardens, Kolkata - India,
4,4,0,0,1789,75,2331,23.85,4.6,Feroz Shah Kotla, Delhi - India,
15,15,0,0,7656,217,8482,35.28,5.41,Melbourne Cricket Ground - Australia,,
2,2,0,0,1163,26,1200,44.73,5.81,Saurashtra Cricket Association Stadium, Rajkot - India,
10,10,0,0,4863,157,5645,30.97,5.16,Adelaide Oval - Australia,,
3,3,0,0,1384,46,1567,30.08,5.29,Nehru Stadium, Kochi - India,
8,8,0,0,3671,123,4189,29.84,5.25,Brisbane Cricket Ground, Woolloongabba, Brisbane - Australia
5,4,0,1,2303,68,2522,33.86,5.47,JSCA International Stadium Complex, Ranchi - India,
3,3,0,0,1478,51,1711,28.98,5.18,Boland Park, Paarl - South Africa,
16,14,0,2,7535,209,7876,36.05,5.74,Sydney Cricket Ground - Australia,,
3,3,0,0,1327,40,1514,33.17,5.25,Diamond Oval, Kimberley - South Africa,
6,6,0,0,3167,94,3192,33.69,5.95,Bellerive Oval, Hobart - Australia,
5,5,0,0,3056,67,2957,45.61,6.2,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh - India
2,2,0,0,935,30,1164,31.16,4.81,Senwes Park, Potchefstroom - South Africa,
4,4,0,0,1664,56,1987,29.71,5.02,Himachal Pradesh Cricket Association Stadium, Dharamsala - India,
12,12,0,0,5197,177,5918,29.36,5.26,W.A.C.A. Ground, Perth - Australia,
7,7,0,0,4226,110,4026,38.41,6.29,Manuka Oval, Canberra - Australia,
16,15,0,1,7748,215,8165,36.03,5.69,Seddon Park, Hamilton - New Zealand,
8,8,0,0,3770,110,4299,34.27,5.26,McLean Park, Napier - New Zealand,
7,6,0,1,3051,87,3346,35.06,5.47,National Cricket Stadium, St George's, Grenada - West Indies
12,10,1,1,5214,187,5603,27.88,5.58,Eden Park, Auckland - New Zealand,
31,31,0,0,12905,470,15659,27.45,4.94,Sharjah Cricket Stadium - U.A.E.,,
3,3,0,0,1430,48,1448,29.79,5.92,Mangaung Oval, Bloemfontein - South Africa,
23,22,0,1,10524,326,12214,32.28,5.16,ICC Academy, Dubai - U.A.E.,
12,11,0,1,5669,159,5826,35.65,5.83,SuperSport Park, Centurion - South Africa,
9,9,0,0,4683,122,4663,38.38,6.02,The Wanderers Stadium, Johannesburg - South Africa,
9,9,0,0,4480,132,4820,33.93,5.57,Kingsmead, Durban - South Africa,
12,10,0,2,5460,138,5340,39.56,6.13,Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota - Sri Lanka
3,3,0,0,1312,40,1488,32.8,5.29,Willowmoore Park, Benoni - South Africa,
15,15,0,0,6879,224,7503,30.7,5.5,Pallekele International Cricket Stadium - Sri Lanka,,
31,28,2,1,13034,441,15933,29.55,4.9,Queens Sports Club, Bulawayo - Zimbabwe,
12,10,0,2,5523,160,5884,34.51,5.63,Grange Cricket Club, Raeburn Place, Edinburgh - Scotland
8,7,1,0,4092,109,4506,37.54,5.44,Castle Avenue, Dublin - Ireland,
5,4,1,0,2273,86,2845,26.43,4.79,VRA Ground, Amstelveen - Netherlands,
7,7,0,0,3549,110,3851,32.26,5.52,Lord's, London - England,
8,8,0,0,4766,103,4522,46.27,6.32,The Rose Bowl, Southampton - England,
9,7,1,1,4944,112,4530,44.14,6.54,Trent Bridge, Nottingham - England,
14,13,1,0,6690,221,7264,30.27,5.52,Sophia Gardens, Cardiff - England,
17,15,0,2,8038,208,8369,38.64,5.76,Kennington Oval, London - England,
15,12,0,3,5950,182,6654,32.69,5.36,Edgbaston, Birmingham - England,
5,5,0,0,2229,68,2710,32.77,4.93,Sabina Park, Kingston, Jamaica - West Indies
3,3,0,0,1094,45,1316,24.31,4.98,Mannofield Park, Aberdeen - Scotland,
6,5,0,1,2224,80,2661,27.8,5.01,Queen's Park Oval, Port of Spain, Trinidad - West Indies
10,10,0,0,4317,154,5477,28.03,4.72,Providence Stadium, Guyana - West Indies,
7,5,1,1,2255,84,2944,26.84,4.59,Darren Sammy National Cricket Stadium, Gros Islet, St Lucia - West Indies
18,18,0,0,8533,268,9277,31.83,5.51,R.Premadasa Stadium, Khettarama, Colombo - Sri Lanka
50,50,0,0,20917,739,26328,28.3,4.76,Harare Sports Club - Zimbabwe,,
2,1,0,1,342,22,439,15.54,4.67,Maple Leaf North-West Ground, King City - Canada,
16,14,0,2,6890,202,7508,34.1,5.5,The Village, Malahide, Dublin - Ireland
11,10,0,0,4335,174,5766,24.91,4.51,Civil Service Cricket Club, Stormont, Belfast - Ireland
6,6,0,0,2294,87,2627,26.36,5.23,Old Trafford, Manchester - England,
4,4,0,0,2227,64,2349,34.79,5.68,Maharashtra Cricket Association Stadium, Pune - India,
1,1,0,0,721,6,561,120.16,7.71,Sawai Mansingh Stadium, Jaipur - India,
43,42,0,1,18425,668,22113,27.58,4.99,Shere Bangla National Stadium, Mirpur, Dhaka - Bangladesh
3,3,0,0,1678,42,1741,39.95,5.78,Vidarbha Cricket Association Stadium, Jamtha, Nagpur - India
24,22,1,1,10333,352,12910,29.35,4.8,Dubai International Cricket Stadium - U.A.E.,,
2,2,0,0,1356,29,1171,46.75,6.94,M.Chinnaswamy Stadium, Bengaluru - India,
6,6,0,0,3184,89,3550,35.77,5.38,Khan Shaheb Osman Ali Stadium, Fatullah - Bangladesh,
25,25,0,0,11229,399,14129,28.14,4.76,Sheikh Zayed Stadium, Abu Dhabi - U.A.E.,
12,10,0,2,4633,152,5098,30.48,5.45,Rangiri Dambulla International Stadium - Sri Lanka,,
4,3,1,0,2001,56,2098,35.73,5.72,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam - India,
7,7,0,0,3526,106,3847,33.26,5.49,Newlands, Cape Town - South Africa,
3,3,0,0,1798,35,1777,51.37,6.07,Green Park, Kanpur - India,
8,8,0,0,3664,109,4221,33.61,5.2,St George's Park, Port Elizabeth - South Africa,
1,1,0,0,407,9,252,45.22,9.69,Queenstown Events Centre - New Zealand,,
11,10,0,1,5345,134,5569,39.88,5.75,Saxton Oval, Nelson - New Zealand,
14,14,0,0,6365,208,6903,30.6,5.53,Hagley Oval, Christchurch - New Zealand,
2,2,0,0,1060,26,1114,40.76,5.7,Bert Sutcliffe Oval, Lincoln - New Zealand,
9,9,0,0,4740,135,5033,35.11,5.65,Bay Oval, Mount Maunganui - New Zealand,
11,11,0,0,5410,165,5843,32.78,5.55,Westpac Stadium, Wellington - New Zealand,
7,7,0,0,3200,110,4009,29.09,4.78,Sir Vivian Richards Stadium, North Sound, Antigua - West Indies
1,1,0,0,434,14,556,31.0,4.68,Bayuemas Oval, Kuala Lumpur - Malaysia,
3,3,0,0,1279,52,1723,24.59,4.45,Kinrara Academy Oval, Kuala Lumpur - Malaysia,
3,3,0,0,1454,46,1475,31.6,5.91,Riverside Ground, Chester-le-Street - England,
5,5,0,0,2787,70,2888,39.81,5.79,Warner Park, Basseterre, St Kitts - West Indies
6,5,0,0,3262,83,3351,39.3,5.84,Headingley, Leeds - England,
2,2,0,0,1304,29,1136,44.96,6.88,Barabati Stadium, Cuttack - India,
1,1,0,0,549,12,567,45.75,5.8,Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad - India
2,2,0,0,930,33,1118,28.18,4.99,Tony Ireland Stadium, Townsville - Australia,
2,2,0,0,963,25,1145,38.52,5.04,Rajiv Gandhi International Stadium, Uppal, Hyderabad - India
6,6,0,0,2872,74,3224,38.81,5.34,Zahur Ahmed Chowdhury Stadium, Chattogram - Bangladesh,
2,2,0,0,784,27,894,29.03,5.26,Buffalo Park, East London - South Africa,
8,8,0,0,3876,135,4302,28.71,5.4,University Oval, Dunedin - New Zealand,
3,2,0,1,1610,28,1538,57.5,6.28,Gaddafi Stadium, Lahore - Pakistan,
2,2,0,0,1059,30,1149,35.3,5.53,Holkar Cricket Stadium, Indore - India,
2,2,0,0,981,33,1026,29.72,5.73,MA Chidambaram Stadium, Chepauk, Chennai - India
2,2,0,0,1226,26,1110,47.15,6.62,Wankhede Stadium, Mumbai - India,
3,3,0,0,1498,48,1651,31.2,5.44,Basin Reserve, Wellington - New Zealand,
4,4,0,0,1654,70,2123,23.62,4.67,Mission Road Ground, Mong Kok, Hong Kong - Hong Kong
7,6,0,1,3271,99,3461,33.04,5.67,Kensington Oval, Bridgetown, Barbados - West Indies
4,3,0,1,1848,55,1746,33.6,6.35,County Ground, Bristol - England,
5,5,0,0,2629,79,2918,33.27,5.4,Greater Noida Sports Complex Ground, Greater Noida - India,
1,1,0,0,490,19,567,25.78,5.18,Sinhalese Sports Club Ground, Colombo - Sri Lanka,
2,2,0,0,951,22,969,43.22,5.88,Galle International Stadium - Sri Lanka,,
2,2,0,0,862,34,1145,25.35,4.51,Amini Park, Port Moresby - P.N.G.,
1,1,0,0,497,14,576,35.5,5.17,Cobham Oval (New), Whangarei - New Zealand,
2,2,0,0,811,34,981,23.85,4.96,Perth Stadium - Australia,,
3,3,0,0,1130,46,1529,24.56,4.43,Bulawayo Athletic Club - Zimbabwe,,
5,5,0,0,2156,75,2522,28.74,5.12,Old Hararians, Harare - Zimbabwe,
1,1,0,0,648,10,553,64.8,7.03,Barsapara Cricket Stadium, Guwahati - India,
1,1,0,0,530,15,518,35.33,6.13,Brabourne Stadium, Mumbai - India,
1,1,0,0,209,11,280,19.0,4.47,Greenfield International Stadium, Thiruvananthapuram - India,
1,1,0,0,400,11,531,36.36,4.51,Sylhet International Cricket Stadium - Bangladesh,,
5,4,0,1,1864,67,2524,27.82,4.43,Rajiv Gandhi International Cricket Stadium, Dehradun - India,
1,1,0,0,307,17,474,18.05,3.88,Wanderers Cricket Ground, Windhoek - Namibia,
1,1,0,0,329,15,460,21.93,4.29,Affies Park, Windhoek - Namibia,
